Wavelength (nm)	Relative Power	Description
910	37.893	
911	40.527	
912	41.791	
913	38.116	
914	38.004	
915	41.15	
916	34.969	
917	44.293	
918	35.955	
919	44.815	
920	45.14	
921	47.345	
922	42.479	
923	45.195	
924	43.767	
925	43.136	
926	42.664	
927	47.766	
928	35.771	
929	33.441	
930	26.212	
931	24.823	
932	18.251	
933	15.069	
934	8.723	
935	15.216	
936	9.792	
937	9.911	
938	12.167	
939	24.196	
940	28.621	
941	22.563	
942	24.587	
943	16.884	
944	17.336	
945	22.336	
946	11.805	
947	22.513	
948	16.635	
949	29.964	
950	8.933	
951	29.347	
952	16.312	
953	20.844	
954	25.727	
955	20.696	
956	19.91	
957	16.419	
958	27.965	
959	22.678	
960	25.518	
961	27.977	
962	26.796	
963	30.636	
964	27.819	
965	30.557	
966	30.497	
967	30.476	
968	39.557	
969	41.627	
970	38.496	
971	43.31	
972	41.714	
973	36.79	
974	34.898	
975	35.782	
976	34.693	
977	38.741	
978	37.312	
979	38.711	
980	36.681	
981	43.274	
982	41.988	
983	40.561	
984	44.727	
985	41.745	
986	45.546	
987	44.846	
988	44.563	
989	45.439	
990	44.42	
991	45.713	
992	45.558	
993	44.724	
994	45.745	
995	45.603	
996	45.426	
997	44.872	
998	44.821	
999	44.803	
1000	44.605	
1001	45.157	
1002	44.164	
1003	44.551	
1004	43.88	
1005	41.355	
1006	43.222	
1007	44.133	
1008	44.092	
1009	43.659	
1010	43.624	
1011	43.845	
1012	43.601	
1013	43.531	
1014	43.717	
1015	42.958	
1016	43.148	
1017	42.667	
1018	43.325	
1019	41.782	
1020	42.4	
1021	42.569	
1022	41.838	
1023	42.164	
1024	41.891	
1025	42.313	
1026	42.242	
1027	42.041	
1028	42.09	
1029	41.631	
1030	41.89	
1031	41.696	
1032	41.727	
1033	41.015	
1034	41.259	
1035	41.392	
1036	41.372	
1037	40.944	
1038	40.747	
1039	41.029	
1040	40.746	
1041	40.75	
1042	40.764	
1043	40.355	
1044	40.542	
1045	40.311	
1046	39.256	
1047	39.851	
1048	40.203	
1049	39.973	
1050	39.711	
1051	39.746	
1052	39.501	
1053	39.381	
1054	39.215	
1055	39.337	
1056	39.212	
1057	39.116	
1058	38.713	
1059	37.534	
1060	38.571	
1061	37.683	
1062	38.378	
1063	37.755	
1064	38.335	
1065	38.164	
1066	37.436	
1067	37.629	
1068	37.576	
1069	35.563	
1070	36.681	
1071	37.404	
1072	37.328	
1073	36.617	
1074	37.706	
1075	35.943	
1076	37.289	
1077	36.66	
1078	36.591	
1079	36.684	
1080	36.228	
1081	35.234	
1082	35.754	
1083	36.284	
1084	35.094	
1085	35.99	
1086	33.612	
1087	34.393	
1088	35.982	
1089	35.134	
1090	33.711	
1091	35.69	
1092	35.259	
1093	30.972	
1094	32.736	
1095	31.584	
1096	30.527	
1097	35.094	
1098	30.507	
1099	30.799	
1100	29.467	
